platform,method,runningTime,width,height
Matlab,Otsu,1.288,1920,1080
Matlab,Otsu,1.3032,1920,1080
Matlab,Otsu,1.3747,1920,1080
Matlab,Otsu,1.3927,1920,1080
Matlab,Otsu,1.553,1920,1080
Matlab,Otsu,1.3508,1920,1080
Matlab,Otsu,1.4488,1920,1080
Matlab,Otsu,1.3575,1920,1080
Matlab,Otsu,1.4154,1920,1080
Matlab,Otsu,1.3072,1920,1080
Matlab,Otsu,1.2741,1920,1080
Matlab,Otsu,1.3654,1920,1080
Matlab,Otsu,1.4769,1920,1080
Matlab,Otsu,1.3869,1920,1080
Matlab,Otsu,1.5271,1920,1080
Matlab,Otsu,1.4313,1920,1080
Matlab,Otsu,1.3908,1920,1080
Matlab,Otsu,1.3245,1920,1080
Matlab,Otsu,1.5781,1920,1080
Matlab,Otsu,1.4168,1920,1080
Matlab,Otsu,1.3462,1920,1080
Matlab,Otsu,1.3122,1920,1080
Matlab,Otsu,1.2835,1920,1080
Matlab,Otsu,1.8507,1920,1080
Matlab,Otsu,1.5207,1920,1080
Matlab,Otsu,1.2745,1920,1080
Matlab,Otsu,1.2985,1920,1080
Matlab,Otsu,1.3272,1920,1080
Matlab,Otsu,1.4969,1920,1080
Matlab,Otsu,1.3428,1920,1080
Matlab,Otsu,1.4167,1920,1080
Matlab,Otsu,1.3281,1920,1080
Matlab,Otsu,1.347,1920,1080
Matlab,Otsu,1.294,1920,1080
Matlab,Otsu,1.682,1920,1080
Matlab,Otsu,1.5375,1920,1080
Matlab,Otsu,1.498,1920,1080
Matlab,Otsu,1.4444,1920,1080
Matlab,Otsu,1.763,1920,1080
Matlab,Otsu,1.3957,1920,1080
Matlab,Otsu,1.552,1920,1080
Matlab,Otsu,1.4864,1920,1080
Matlab,Otsu,1.4997,1920,1080
Matlab,Otsu,1.4247,1920,1080
Matlab,Otsu,1.3604,1920,1080
Matlab,Otsu,1.335,1920,1080
Matlab,Otsu,1.2812,1920,1080
Matlab,Otsu,1.4034,1920,1080
Matlab,Otsu,1.3802,1920,1080
Matlab,Otsu,1.468,1920,1080
Matlab,Otsu,1.3627,1920,1080
Matlab,Otsu,1.2595,1920,1080
Matlab,Otsu,1.3504,1920,1080
Matlab,Otsu,1.3684,1920,1080
Matlab,Otsu,1.3783,1920,1080
Matlab,Otsu,1.2884,1920,1080
Matlab,Otsu,1.3682,1920,1080
Matlab,Otsu,1.2921,1920,1080
Matlab,Otsu,1.3362,1920,1080
Matlab,Otsu,1.3,1920,1080
Matlab,Otsu,1.3199,1920,1080
Matlab,Otsu,1.4334,1920,1080
Matlab,Otsu,1.2503,1920,1080
Matlab,Otsu,1.2779,1920,1080
Matlab,Otsu,1.402,1920,1080
Matlab,Otsu,1.3293,1920,1080
Matlab,Otsu,1.4269,1920,1080
Matlab,Otsu,1.3156,1920,1080
Matlab,Otsu,1.3508,1920,1080
Matlab,Otsu,1.371,1920,1080
Matlab,Otsu,1.3257,1920,1080
Matlab,Otsu,1.4126,1920,1080
Matlab,Otsu,1.2632,1920,1080
Matlab,Otsu,1.2607,1920,1080
Matlab,Otsu,1.3505,1920,1080
Matlab,Otsu,1.348,1920,1080
Matlab,Otsu,1.3725,1920,1080
Matlab,Otsu,1.2717,1920,1080
Matlab,Otsu,1.4248,1920,1080
Matlab,Otsu,1.2579,1920,1080
Matlab,Otsu,1.3208,1920,1080
Matlab,Otsu,1.3197,1920,1080
Matlab,Otsu,1.3788,1920,1080
Matlab,Otsu,1.4639,1920,1080
Matlab,Otsu,1.3053,1920,1080
Matlab,Otsu,1.3626,1920,1080
Matlab,Otsu,1.3523,1920,1080
Matlab,Otsu,0.8114,632,461
Matlab,Otsu,0.5985,632,461
Matlab,Otsu,0.4638,632,461
Matlab,Otsu,0.483,632,461
Matlab,Otsu,0.6167,632,461
Matlab,Otsu,0.3556,632,461
Matlab,Otsu,0.3471,632,461
Matlab,Otsu,0.3327,632,461
Matlab,Otsu,0.3326,632,461
Matlab,Otsu,0.3198,632,461
Matlab,Otsu,0.3384,632,461
Matlab,Otsu,0.3778,632,461
Matlab,Otsu,0.3555,632,461
Matlab,Otsu,0.3392,632,461
Matlab,Otsu,0.3357,632,461
Matlab,Otsu,0.3313,632,461
Matlab,Otsu,0.3293,632,461
Matlab,Otsu,0.3398,632,461
Matlab,Otsu,0.3387,632,461
Matlab,Otsu,0.3204,632,461
Matlab,Otsu,0.3413,632,461
Matlab,Otsu,0.3279,632,461
Matlab,Otsu,0.3258,632,461
Matlab,Otsu,0.3333,632,461
Matlab,Otsu,0.3254,632,461
Matlab,Otsu,0.321,632,461
Matlab,Otsu,0.3156,632,461
Matlab,Otsu,0.3514,632,461
Matlab,Otsu,0.3263,632,461
Matlab,Otsu,0.346,632,461
Matlab,Otsu,0.3322,632,461
Matlab,Otsu,0.3246,632,461
Matlab,Otsu,0.3218,632,461
Matlab,Otsu,0.3826,632,461
Matlab,Otsu,0.3692,632,461
Matlab,Otsu,0.3399,632,461
Matlab,Otsu,0.3315,632,461
Matlab,Otsu,0.3292,632,461
Matlab,Otsu,0.3243,632,461
Matlab,Otsu,0.3231,632,461
Matlab,Otsu,0.3196,632,461
Matlab,Otsu,0.3274,632,461
Matlab,Otsu,0.3264,632,461
Matlab,Otsu,0.3187,632,461
Matlab,Otsu,0.3066,632,461
Matlab,Otsu,0.3295,632,461
Matlab,Otsu,0.3183,632,461
Matlab,Otsu,0.3339,632,461
Matlab,Otsu,0.3309,632,461
Matlab,Otsu,0.3266,632,461
Matlab,Otsu,0.3275,632,461
Matlab,Otsu,0.3198,632,461
Matlab,Otsu,0.3294,632,461
Matlab,Otsu,0.3235,632,461
Matlab,Otsu,0.3187,632,461
Matlab,Otsu,0.3504,632,461
Matlab,Otsu,0.3472,632,461
Matlab,Otsu,0.3329,632,461
Matlab,Otsu,0.3148,632,461
Matlab,Otsu,0.3156,632,461
Matlab,Otsu,0.321,632,461
Matlab,Otsu,0.3203,632,461
Matlab,Otsu,0.3157,632,461
Matlab,Otsu,0.3129,632,461
Matlab,Otsu,0.3441,632,461
Matlab,Otsu,0.333,632,461
Matlab,Otsu,0.3201,632,461
Matlab,Otsu,0.3359,632,461
Matlab,Otsu,0.3342,632,461
Matlab,Otsu,0.3198,632,461
Matlab,Otsu,0.3247,632,461
Matlab,Otsu,0.3252,632,461
Matlab,Otsu,0.3181,632,461
Matlab,Otsu,0.3214,632,461
Matlab,Otsu,0.3621,632,461
Matlab,Otsu,0.3606,632,461
Matlab,Otsu,0.3403,632,461
Matlab,Otsu,0.3312,632,461
Matlab,Otsu,0.33,632,461
Matlab,Otsu,0.3201,632,461
Matlab,Otsu,0.3237,632,461
Matlab,Otsu,0.3228,632,461
Matlab,Otsu,0.3504,632,461
Matlab,Otsu,0.324,632,461
Matlab,Otsu,0.3243,632,461
Matlab,Otsu,0.3176,632,461
Matlab,Otsu,0.3289,632,461
Matlab,Otsu,0.3197,632,461
Matlab,Otsu,0.3296,632,461
Matlab,Otsu,0.3164,632,461
Matlab,Otsu,0.367,632,461
Matlab,Otsu,0.3373,632,461
Matlab,Otsu,0.3218,632,461
Matlab,Otsu,0.3397,632,461
Matlab,Otsu,0.3482,632,461
Matlab,Otsu,0.3651,632,461
Matlab,Otsu,0.4152,632,461
Matlab,Otsu,0.4583,632,461
Matlab,Otsu,0.3903,632,461
Matlab,Otsu,0.4245,632,461
OpenCL,LoG,4.42166,3840,2160
OpenCL,LoG,4.92597,3840,2160
OpenCL,LoG,4.49672,3840,2160
OpenCL,LoG,4.4776,3840,2160
OpenCL,LoG,4.23256,3840,2160
OpenCL,LoG,4.39198,3840,2160
OpenCL,LoG,4.40517,3840,2160
OpenCL,LoG,4.44948,3840,2160
OpenCL,LoG,4.4831,3840,2160
OpenCL,LoG,4.32075,3840,2160
OpenCL,LoG,4.53743,3840,2160
OpenCL,LoG,4.54174,3840,2160
OpenCL,LoG,4.36137,3840,2160
OpenCL,LoG,4.61689,3840,2160
OpenCL,LoG,4.25984,3840,2160
OpenCL,LoG,4.36233,3840,2160
OpenCL,LoG,4.65523,3840,2160
OpenCL,LoG,4.46234,3840,2160
OpenCL,LoG,4.40859,3840,2160
OpenCL,LoG,4.47241,3840,2160
OpenCL,LoG,4.36315,3840,2160
OpenCL,LoG,4.38727,3840,2160
OpenCL,LoG,4.29636,3840,2160
OpenCL,LoG,4.44302,3840,2160
OpenCL,LoG,4.44509,3840,2160
OpenCL,LoG,5.38302,3840,2160
OpenCL,LoG,4.50565,3840,2160
OpenCL,LoG,4.3969,3840,2160
OpenCL,LoG,4.63454,3840,2160
OpenCL,LoG,4.43824,3840,2160
OpenCL,LoG,4.44665,3840,2160
OpenCL,LoG,4.3174,3840,2160
OpenCL,LoG,4.43986,3840,2160
OpenCL,LoG,4.36513,3840,2160
OpenCL,LoG,4.45461,3840,2160
OpenCL,LoG,4.67655,3840,2160
OpenCL,LoG,4.61558,3840,2160
OpenCL,LoG,4.37982,3840,2160
OpenCL,LoG,4.40864,3840,2160
OpenCL,LoG,4.36696,3840,2160
OpenCL,LoG,4.80124,3840,2160
OpenCL,LoG,4.428,3840,2160
OpenCL,LoG,4.6733,3840,2160
OpenCL,LoG,4.62211,3840,2160
OpenCL,LoG,4.35866,3840,2160
OpenCL,LoG,4.47835,3840,2160
OpenCL,LoG,4.40953,3840,2160
OpenCL,LoG,4.37724,3840,2160
OpenCL,LoG,4.17876,3840,2160
OpenCL,LoG,4.30001,3840,2160
OpenCL,LoG,4.30483,3840,2160
OpenCL,LoG,4.38958,3840,2160
OpenCL,LoG,4.47682,3840,2160
OpenCL,LoG,4.64883,3840,2160
OpenCL,LoG,4.30198,3840,2160
OpenCL,LoG,4.42409,3840,2160
OpenCL,LoG,4.3202,3840,2160
OpenCL,LoG,4.94672,3840,2160
OpenCL,LoG,4.50984,3840,2160
OpenCL,LoG,4.50788,3840,2160
OpenCL,LoG,4.33119,3840,2160
OpenCL,LoG,4.61043,3840,2160
OpenCL,LoG,4.43106,3840,2160
OpenCL,LoG,4.46841,3840,2160
OpenCL,LoG,4.45985,3840,2160
OpenCL,LoG,4.32339,3840,2160
OpenCL,LoG,4.31889,3840,2160
OpenCL,LoG,4.66066,3840,2160
OpenCL,LoG,4.354,3840,2160
OpenCL,LoG,4.54116,3840,2160
OpenCL,LoG,4.56429,3840,2160
